file,subject,session,begin_time,end_time,low_freq,high_freq,duration,delta_duration,max_freq,pfc_avg_slope,avg_entropy,agg_entropy,snr,ioi,ioi_2,delta_voice_freq,delta_voice_inflexion,delta_voice_entropy,delta_time_1,delta_time_2,delta_time_3,delta_time_4,max_freq_1,max_freq_2,max_freq_3,max_freq_4,pfc_avg_slope_1,pfc_avg_slope_2,pfc_avg_slope_3,pfc_avg_slope_4,avg_entropy_1,avg_entropy_2,avg_entropy_3,avg_entropy_4,pc_duration,pc_voice_freq,pc_voice_inflexion,pc_voice_entropy
Riet MZ04,Riet,1,836.3927,837.4312,12.766,1410.638,1.0385,-0.09360000000000013,621.094,0.476,7.694,8.178,19.79,7.677500000000009,-0.09360000000000013,-2.9289999999999736,0.06999999999999995,0.0389999999999997,0.2756,0.9893,1.3683,0.8072,717.773,597.656,632.812,175.781,0.055,0.522,-0.229,0.666,7.753,7.708,7.627,7.57,-8.267820863881294,-0.46937372500692653,17.241379310344815,0.5094709340300418
Riet MZ04,Riet,1,837.7659,838.0415,6.383,1346.809,0.2756,-0.7628999999999999,717.773,0.055,7.753,8.222,18.11,1.373199999999997,-0.7628999999999999,96.67899999999997,-0.421,0.05900000000000016,0.9893,1.3683,0.8072,0.8466,597.656,632.812,175.781,597.656,0.522,-0.229,0.666,0.445,7.708,7.627,7.57,7.586,-73.46172363986518,15.565920778497292,-88.4453781512605,0.7668312971146369
Riet MZ04,Riet,1,843.0183,844.0076,19.149,1385.106,0.9893,0.7137,597.656,0.522,7.708,8.265,19.33,5.252399999999966,0.7137,-120.11700000000008,0.467,-0.04499999999999993,1.3683,0.8072,0.8466,1.4028,632.812,175.781,597.656,647.461,-0.229,0.666,0.445,-0.269,7.627,7.57,7.586,7.691,258.9622641509434,-16.73467795528671,849.0909090909092,-0.5804204823939111
Riet MZ04,Riet,1,854.3463,855.7146,6.383,1442.553,1.3683,0.3790000000000001,632.812,-0.229,7.627,8.107,22.49,11.328000000000088,0.3790000000000001,35.15600000000006,-0.751,-0.0810000000000004,0.8072,0.8466,1.4028,1.2502,175.781,597.656,647.461,629.883,0.666,0.445,-0.269,0.433,7.57,7.586,7.691,7.455,38.309916102294565,5.882313571686733,-143.8697318007663,-1.0508562532433887
Riet MZ04,Riet,1,862.9272,863.7344,12.766,1417.021,0.8072,-0.5611,175.781,0.666,7.57,8.089,20.38,8.580899999999929,-0.5611,-457.031,0.895,-0.056999999999999496,0.8466,1.4028,1.2502,1.0878,597.656,647.461,629.883,606.445,0.445,-0.269,0.433,-0.049,7.586,7.691,7.455,7.463,-41.00708908865015,-72.22223978053513,-390.8296943231441,-0.7473449586993509
Riet MZ04,Riet,1,864.079,864.9255,19.149,1385.106,0.8466,0.03939999999999999,597.656,0.445,7.586,8.114,20.47,1.1517999999999802,0.03939999999999999,421.87499999999994,-0.22100000000000003,0.016000000000000014,1.4028,1.2502,1.0878,1.5357,647.461,629.883,606.445,641.602,-0.269,0.433,-0.049,0.285,7.691,7.455,7.463,7.602,4.881070366699701,240.00034133381877,-33.18318318318318,0.21136063408190242
Riet MZ04,Riet,1,873.0121,874.4149,25.532,1436.17,1.4028,0.5562,647.461,-0.269,7.691,8.35,23.05,8.933100000000081,0.5562,49.805000000000064,-0.714,0.10499999999999954,1.2502,1.0878,1.5357,1.0238,629.883,606.445,641.602,600.586,0.433,-0.049,0.285,0.595,7.455,7.463,7.602,7.701,65.69808646350106,8.333389106777155,-160.44943820224717,1.3841286580543044
Riet MZ04,Riet,1,884.588,885.8382,31.915,1404.255,1.2502,-0.15260000000000007,629.883,0.433,7.455,8.2,24.76,11.575899999999933,-0.15260000000000007,-17.577999999999975,0.702,-0.23599999999999977,1.0878,1.5357,1.0238,1.2403,606.445,641.602,600.586,553.711,-0.049,0.285,0.595,0.433,7.463,7.602,7.701,7.419,-10.878243512974056,-2.714912558439809,-260.96654275092936,-3.0685216486802727
Riet MZ04,Riet,1,895.3153,896.4031,19.149,1417.021,1.0878,-0.16239999999999988,606.445,-0.049,7.463,7.978,22.43,10.727300000000014,-0.16239999999999988,-23.437999999999988,-0.482,0.008000000000000007,1.5357,1.0238,1.2403,1.1271,641.602,600.586,553.711,87.891,0.285,0.595,0.433,0.05,7.602,7.701,7.419,6.545,-12.989921612541982,-3.7210085047540553,-111.31639722863741,0.1073105298457412
Riet MZ04,Riet,1,903.1463,904.6819,19.149,1404.255,1.5357,0.44789999999999996,641.602,0.285,7.602,8.125,20.48,7.831000000000017,0.44789999999999996,35.156999999999925,0.33399999999999996,0.13900000000000023,1.0238,1.2403,1.1271,1.3978,600.586,553.711,87.891,82.031,0.595,0.433,0.05,0.046,7.701,7.419,6.545,7.051,41.174848317705454,5.797228108072442,-681.6326530612243,1.8625217740854916
